polish,english
nie ,not
to ,this
się ,myself
na ,on
co ,What
że ,that
jest ,is
do ,down
tak ,Yes
jak ,how
mnie ,me
ale ,but
mi ,to me
za ,behind
ja ,I
ci ,you
tu ,here
go ,him
tego ,this
tym ,this
ty ,you
czy ,if
tylko ,just
po ,after
jestem ,I am
cię ,you
ma ,she
może ,maybe
już ,already
mam ,I have
jesteś ,you are
pan ,Mr
coś ,something
dla ,for
wiem ,I know
dobrze ,okay
jeśli ,if
od ,from
teraz ,now
proszę ,please
tam ,over there
wszystko ,all
masz ,you have
więc ,so
nic ,Thread
być ,to be
będzie ,will be
gdzie ,where
są ,are
on ,he
mogę ,I can
ten ,this
ciebie ,you
sobie ,herself
wiesz ,you know
ze ,with
bardzo ,very
jej ,her
kiedy ,when
był ,was
jeszcze ,yet
nas ,us
chcę ,want
mój ,my
było ,was
no ,Well
przez ,by
by ,to
pani ,you
ją ,I
jego ,his
ich ,their
dlaczego ,why
chcesz ,you want
żeby ,in order to
tutaj ,here
mamy ,we have
też ,also
bo ,because
dobra ,Okay
kto ,who
nigdy ,never
przepraszam ,sorry
mu ,him
naprawdę ,really
możesz ,you can
chyba ,I guess
porządku ,order
dziękuję ,thank you
muszę ,I have to
panie ,ladies
właśnie ,exactly
ona ,she
domu ,home
zrobić ,to do
nawet ,even
gdy ,when
prawda ,true
te ,these
nam ,U.S
będę ,I will be
zawsze ,always
bez ,without
nim ,nimble
je ,eat
była ,was
jesteśmy ,we're
dzięki ,thanks
tej ,this
moja ,my
trochę ,a bit
ktoś ,someone
musisz ,you have to
cześć ,Hi
hej ,Hi
lat ,years
moje ,my
pana ,Mr
musimy ,We need
dalej ,next
twój ,your
wszyscy ,everybody
czas ,time
chce ,I want
który ,which
więcej ,more
tobą ,you
boże ,God
powiedzieć ,tell
sam ,alone
chodzi ,it comes
czego ,what
ta ,this
możemy ,We can
albo ,or
mną ,mine
razem ,Total
niech ,let
dobry ,good
raz ,once
stało ,constant
was ,mustache
czym ,what
prostu ,simply
będziesz ,you will be
chodź ,come on
czemu ,why
przed ,before
ludzi ,people
daj ,give
ludzie ,people
dzień ,day
przy ,by
życie ,life
niż ,than
robisz ,you do
myślę ,I think
lepiej ,better
kim ,Who is
myślisz ,you think
miał ,had
my ,we
nikt ,no one
czasu ,time
powiedz ,say
rzeczy ,stuff
twoja ,your
tych ,languish
stąd ,hence
niego ,him
mówi ,says
im ,them
temu ,ago
jeden ,one
pod ,under
musi ,has to
siebie ,myself
twoje ,your
powiedział ,He said
oczywiście ,of course
ok ,okay
moim ,my
oni ,they
dwa ,two
które ,which
pewnie ,sure
dziś ,today
kurwa ,whore
wie ,know
taki ,such
aby ,to
skąd ,from where
cholera ,cholera
dzieje ,scent
wygląda ,look
wtedy ,then
mojego ,my
takie ,such
ile ,how much
wszystkie ,all
mieć ,to have
dlatego ,this is why
znaczy ,mean
będziemy ,we will
potem ,later
jasne ,bright
iść ,go
dużo ,A lot
cóż ,well
tę ,these
byłem ,I was
rozumiem ,I understand
wam ,you
miejsce ,place
cały ,whole
trzeba ,it's necessary to
moją ,my
można ,you can
pomóc ,help
jako ,as
nich ,them
szybko ,quick
jakiś ,some
mojej ,my
nią ,on her
mają ,have
wszystkich ,all
jakieś ,some
wiedzieć ,know
swoje ,own
przykro ,sorry
stary ,old
zaraz ,in a minute
myśli ,thinks
dzieci ,kids
nad ,above
wiele ,many
kochanie ,baby
